Date Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2022-02-07 12:51:16	Z	 63.903	 -61.318	 63.903	 -61.318	  4	697187.5	130.0	1	-121	
2022-02-07 12:55:50	3	 -7.259	  72.358	 -7.818	  74.874	  5	671259.7	 65.0	R	-123	1
2022-02-08 04:09:32	A	 -7.259	  72.370	 -7.259	  72.370	  3	671174.9	 67.7	C	-125	
2022-02-08 04:48:48	B	 -7.237	  72.371	 -7.237	  72.371	  2	671139.5	139.0	N	-133	
2022-02-08 04:58:02	B	 -7.142	  72.471	 -7.142	  72.471	  1	671257.7		B	-134	
2022-02-08 05:49:35	B	 -7.144	  72.486	 -7.144	  72.486	  2	671155.8	 71.0	C	-133	
2022-02-08 06:25:32	B	 -7.140	  72.492	 -7.140	  72.492	  1	671120.4		N	-137	
2022-02-08 12:22:57	B	 -7.343	  72.432	 -7.343	  72.432	  2	671136.4	 64.0	R	-134	
2022-02-08 12:34:17	B	 -7.325	  72.421	 -7.325	  72.421	  1	671127.1		1	-139	
2022-02-10 12:59:50	A	 -7.255	  72.470	 -7.255	  72.470	  3	671237.3	 66.0	R	-132	
2022-02-10 14:42:30	B	 -7.261	  72.476	 -7.261	  72.476	  1	671236.8		R	-137	
2022-02-10 15:00:42	3	 -7.249	  72.448	 -7.249	  72.448	  4	671240.5	 66.3	P	-136	
2022-02-10 15:15:24	3	 -7.250	  72.452	 -7.250	  72.452	  6	671241.4	 66.3	K	-129	
2022-02-10 16:03:10	B	 -7.252	  72.458	 -7.252	  72.458	  1	671242.2		C	-131	
2022-02-10 16:51:55	B	 -7.250	  72.458	 -7.250	  72.458	  2	671243.9	133.0	B	-133	
2022-02-10 17:00:47	3	 -7.251	  72.449	 -7.251	  72.449	  6	671243.8	 66.7	N	-127	
2022-02-10 17:43:19	A	 -7.248	  72.449	 -7.248	  72.449	  3	671244.7	133.0	C	-124	
2022-02-11 12:33:58	0	 -7.587	  74.607	 -7.587	  74.607	  8	671253.3	 64.0	R	-121	
2022-02-11 13:13:01	B	 -7.600	  74.631	 -7.600	  74.631	  1	671224.7		K	-135	
2022-02-11 13:24:11	3	 -7.638	  74.659	 -7.638	  74.659	  5	671248.2	 64.4	1	-132	
2022-02-11 14:06:46	1	 -7.653	  74.630	 -7.653	  74.630	  5	671251.4	 64.2	R	-136	
2022-02-11 14:47:45	0	 -7.676	  74.631	 -7.676	  74.631	  9	671248.1	 64.9	P	-124	
2022-02-11 14:52:05	1	 -7.677	  74.638	 -7.677	  74.638	 11	671248.4	 64.9	K	-124	
2022-02-11 15:43:33	B	 -7.688	  74.619	 -7.688	  74.619	  2	671250.5	 65.0	C	-123	
2022-02-11 16:27:33	B	 -7.682	  74.620	 -7.682	  74.620	  2	671246.4	196.0	B	-130	
2022-02-11 16:51:30	2	 -7.685	  74.620	 -7.685	  74.620	  9	671245.0	 65.3	N	-127	
2022-02-11 17:21:09	2	 -7.687	  74.624	 -7.687	  74.624	  6	671246.9	130.5	C	-121	
2022-02-12 00:57:16	0	 -7.633	  74.615	 -7.633	  74.615	  6	671249.8	 66.0	R	-125	
2022-02-12 01:10:45	3	 -7.648	  74.547	 -7.648	  74.547	  4	671251.3	 66.0	1	-129	
2022-02-12 01:55:11	0	 -7.641	  74.593	 -7.641	  74.593	  9	671237.9	 65.9	K	-127	
2022-02-12 02:01:32	0	 -7.614	  74.657	 -7.614	  74.657	  4	671254.3	 65.8	P	-124	
2022-02-12 02:39:02	0	 -7.429	  74.680	 -7.429	  74.680	  4	671254.0	 66.3	R	-129	
2022-02-12 03:35:52	0	 -7.315	  74.664	 -7.315	  74.664	  4	671220.9	 65.6	K	-132	
2022-02-12 03:37:47	1	 -7.270	  74.643	 -7.270	  74.643	  6	671238.7	 65.4	P	-133	
2022-02-12 04:00:27	A	 -7.286	  74.620	 -7.286	  74.620	  3	671230.8	 65.0	N	-130	
2022-02-12 04:33:07	0	 -7.251	  74.428	 -7.251	  74.428	  9	671235.1	 64.6	C	-117	
2022-02-12 05:18:54	B	 -7.267	  74.599	 -7.267	  74.599	  1	671275.5		B	-135	
2022-02-12 05:36:56	1	 -7.245	  74.570	 -7.245	  74.570	  9	671216.0	 65.7	N	-126	
2022-02-13 00:34:48	1	 -7.065	  73.117	 -3.137	  90.673	  6	671256.6	 64.4	R	-131	
2022-02-13 00:57:28	0	 -7.054	  73.103	 -7.054	  73.103	  6	671255.3	 64.6	1	-121	
2022-02-13 01:29:58	A	 -7.053	  73.023	 -7.053	  73.023	  3	671249.9	 65.0	K	-133	
2022-02-13 01:52:12	2	 -7.066	  73.006	 -7.066	  73.006	  9	671249.3	 65.1	P	-126	
