"Date","Time","Lon","Lat"
"08.05.2013","04:31:42",18.3737917,-33.796175
"08.05.2013","04:32:45",18.3736167,-33.7961483
"08.05.2013","04:33:53",18.373605,-33.7961917
"08.05.2013","04:35:02",18.3739217,-33.7960967
"08.05.2013","04:36:11",18.37357,-33.7962733
"08.05.2013","04:37:19",18.37368,-33.796135
"08.05.2013","04:38:24",18.3737533,-33.79619
"08.05.2013","04:39:32",18.3739767,-33.7961867
"08.05.2013","04:40:35",18.37405,-33.7962067
"08.05.2013","04:41:41",18.3737483,-33.796155
"08.05.2013","04:42:45",18.373615,-33.7961667
"08.05.2013","04:43:54",18.3733133,-33.79602
"08.05.2013","04:45:02",18.3733183,-33.796025
"08.05.2013","04:46:10",18.3736433,-33.7961133
"08.05.2013","04:47:18",18.37365,-33.79605
"08.05.2013","04:48:29",18.37361,-33.7962217
"08.05.2013","04:49:37",18.3738333,-33.7963633
"08.05.2013","04:50:44",18.3737867,-33.7964467
"08.05.2013","04:51:53",18.37384,-33.79666
"08.05.2013","04:52:59",18.37416,-33.79665
"08.05.2013","04:54:05",18.3738933,-33.796985
"08.05.2013","04:55:20",18.374045,-33.79718
"08.05.2013","04:56:28",18.3738933,-33.797405
"08.05.2013","04:57:49",18.3740483,-33.7975433
"08.05.2013","04:58:58",18.3741133,-33.79774
"08.05.2013","05:00:07",18.3739317,-33.7978767
"08.05.2013","05:01:12",18.3740283,-33.79794
"08.05.2013","05:02:23",18.3740817,-33.797905
"08.05.2013","05:03:39",18.3741417,-33.79809
"08.05.2013","05:04:46",18.3740967,-33.7983517
"08.05.2013","05:05:54",18.3741617,-33.7983767
"08.05.2013","05:07:05",18.3739917,-33.7982133
"08.05.2013","05:08:16",18.3738683,-33.7985117
"08.05.2013","05:09:30",18.374265,-33.7985067
"08.05.2013","05:10:43",18.3739267,-33.7988983
"08.05.2013","05:11:49",18.3740167,-33.79894
"08.05.2013","05:13:02",18.37433,-33.7991067
"08.05.2013","05:14:10",18.3746133,-33.799175
"08.05.2013","05:15:16",18.3746683,-33.7992617
"08.05.2013","05:16:26",18.3750933,-33.7992017
"08.05.2013","05:17:39",18.3755117,-33.7992017
"08.05.2013","05:18:50",18.375425,-33.79945
"08.05.2013","05:19:59",18.3757033,-33.7995083
"08.05.2013","05:21:05",18.3757367,-33.79969
"08.05.2013","05:22:22",18.3754967,-33.8001683
"08.05.2013","05:23:25",18.3762117,-33.7998083
"08.05.2013","05:25:04",18.37603,-33.7999117
"08.05.2013","05:26:30",18.3757017,-33.80034
"08.05.2013","05:28:12",18.37565,-33.8007317
"08.05.2013","05:29:21",18.375525,-33.8009733
"08.05.2013","05:30:30",18.3758567,-33.8007867
"08.05.2013","05:31:36",18.3756983,-33.801135
"08.05.2013","05:32:44",18.37565,-33.8013017
"08.05.2013","05:33:52",18.3758717,-33.8011483
"08.05.2013","05:35:01",18.3756883,-33.801475
"08.05.2013","05:36:10",18.3754583,-33.8017567
"08.05.2013","05:37:17",18.3757867,-33.80168
