id,date_dd_mm_yyyy,time_hh_mm_ss,latitude_decimal_degrees,longitude_decimal_degrees
TrinPetrel_X102,01/03/2011,01:12:15,-20.25,57.44
TrinPetrel_X102,01/03/2011,02:12:15,-20.47630134,56.01421857
TrinPetrel_X102,01/03/2011,15:02:15,-21.300137200000002,55.19461941
TrinPetrel_X102,02/03/2011,02:32:14,-21.79372901,54.25630405
TrinPetrel_X102,02/03/2011,15:02:14,-22.49839095,53.25951152
TrinPetrel_X102,03/03/2011,02:12:14,-23.2549384,52.50573244
TrinPetrel_X102,03/03/2011,14:47:14,-25.45235378,51.31275674
TrinPetrel_X102,04/03/2011,02:12:14,-27.50169186,50.14073413
TrinPetrel_X102,04/03/2011,14:47:13,-27.69911967,50.92437039
TrinPetrel_X102,05/03/2011,02:12:13,-27.85506091,51.36810669
TrinPetrel_X102,05/03/2011,14:42:13,-27.50551689,51.94581628
TrinPetrel_X102,06/03/2011,02:12:13,-27.76408238,52.14531908
TrinPetrel_X102,06/03/2011,13:32:13,-27.31307052,52.16179712
TrinPetrel_X102,07/03/2011,02:22:13,-26.27394301,52.87177677
TrinPetrel_X102,07/03/2011,15:02:12,-26.09618588,53.62783297
TrinPetrel_X102,08/03/2011,02:22:12,-25.79994629,54.27565084
TrinPetrel_X102,08/03/2011,14:42:12,-25.21428208,55.560364
TrinPetrel_X102,09/03/2011,02:07:12,-24.63106047,56.07522762
TrinPetrel_X102,09/03/2011,14:37:12,-23.89882827,56.51107444
TrinPetrel_X102,10/03/2011,02:27:12,-23.34591097,56.86099512
TrinPetrel_X102,10/03/2011,14:32:11,-22.88238754,57.45496049
TrinPetrel_X102,11/03/2011,02:32:11,-22.5930013,57.28847807
TrinPetrel_X102,11/03/2011,14:42:11,-22.23291221,57.19473605
TrinPetrel_X102,12/03/2011,02:02:11,-22.31397162,56.96929277
TrinPetrel_X102,12/03/2011,14:42:11,-22.13803556,57.05161863
TrinPetrel_X102,13/03/2011,02:22:10,-21.79108681,57.32017651
TrinPetrel_X102,13/03/2011,14:22:10,-21.74073635,58.00498223
TrinPetrel_X102,14/03/2011,02:22:10,-22.0904257,57.77318404
TrinPetrel_X102,14/03/2011,14:32:10,-22.12263671,58.70652734
TrinPetrel_X102,15/03/2011,02:12:10,-21.58141296,58.5464683
TrinPetrel_X102,15/03/2011,14:32:10,-21.88724805,58.59643671
TrinPetrel_X102,16/03/2011,01:57:09,-21.46189488,58.0981747
TrinPetrel_X102,16/03/2011,14:32:09,-21.87857042,58.4982654
TrinPetrel_X102,17/03/2011,02:02:09,-21.88239999,57.82602095
TrinPetrel_X102,17/03/2011,14:32:09,-22.37779868,57.96171406
TrinPetrel_X102,18/03/2011,02:12:09,-22.60322827,57.58861887
TrinPetrel_X102,18/03/2011,14:22:09,-22.60511411,58.16593168
TrinPetrel_X102,19/03/2011,02:02:08,-22.87770323,58.01590416
TrinPetrel_X102,19/03/2011,14:32:08,-22.95059459,57.64679526
TrinPetrel_X102,20/03/2011,02:12:08,-23.2760358,57.32501426
TrinPetrel_X102,20/03/2011,14:02:08,-23.7926452,57.51515346
TrinPetrel_X102,21/03/2011,02:02:08,-24.13094097,57.49852693
TrinPetrel_X102,21/03/2011,14:32:07,-23.95003405,57.50835141
TrinPetrel_X102,22/03/2011,02:07:07,-23.95965941,57.23135099
TrinPetrel_X102,22/03/2011,14:22:07,-24.29205512,57.37353893
TrinPetrel_X102,23/03/2011,02:02:07,-24.86892136,57.08074891
TrinPetrel_X102,23/03/2011,14:22:07,-25.26141926,57.32083124
TrinPetrel_X102,24/03/2011,02:22:07,-25.47863858,56.58470539
TrinPetrel_X102,24/03/2011,14:22:06,-26.01357213,57.05832045
TrinPetrel_X102,25/03/2011,02:02:06,-26.4760981,56.4984323
TrinPetrel_X102,25/03/2011,14:22:06,-26.48321179,57.4540866
TrinPetrel_X102,26/03/2011,02:12:06,-26.49738228,56.48668318
TrinPetrel_X102,26/03/2011,13:42:06,-26.73681724,56.02906019
TrinPetrel_X102,27/03/2011,02:17:06,-27.11908408,55.67476538
TrinPetrel_X102,27/03/2011,14:22:05,-27.21858673,55.8322154
TrinPetrel_X102,28/03/2011,02:12:05,-27.459303769999998,55.48817526
TrinPetrel_X102,28/03/2011,13:52:05,-28.78214693,56.86052626
TrinPetrel_X102,29/03/2011,02:02:05,-28.46300207,57.27595936
TrinPetrel_X102,29/03/2011,13:52:05,-28.2596809,57.33653838
TrinPetrel_X102,30/03/2011,02:12:04,-28.10500143,56.73930724
TrinPetrel_X102,30/03/2011,14:12:04,-27.91019184,57.45468631
TrinPetrel_X102,31/03/2011,02:02:04,-27.73457824,57.39239715
TrinPetrel_X102,31/03/2011,13:52:04,-27.32785943,57.16059435
TrinPetrel_X102,01/04/2011,02:12:04,-27.04345089,56.45036171
TrinPetrel_X102,01/04/2011,14:22:04,-27.44027969,56.45237645
TrinPetrel_X102,02/04/2011,02:12:03,-27.36511853,56.4017561
TrinPetrel_X102,02/04/2011,14:22:03,-27.46862434,56.44913312
TrinPetrel_X102,03/04/2011,02:02:03,-28.77696831,56.87094885
TrinPetrel_X102,03/04/2011,14:12:03,-29.09595898,58.51746736
