BirdID,Sex,Age,DateGMT,TimeGMT,Latitude,Longitude
GY02216,unknown,Immature Basic 1,2022-02-10,14:42:30,-7.261,72.476
GY02216,unknown,Immature Basic 1,2022-02-10,15:00:42,-7.249,72.448
GY02216,unknown,Immature Basic 1,2022-02-10,15:15:24,-7.25,72.452
GY02216,unknown,Immature Basic 1,2022-02-10,16:03:10,-7.252,72.458
GY02216,unknown,Immature Basic 1,2022-02-10,16:51:55,-7.25,72.458
GY02216,unknown,Immature Basic 1,2022-02-10,17:00:47,-7.251,72.449
GY02216,unknown,Immature Basic 1,2022-02-10,17:43:19,-7.248,72.449
GY02216,unknown,Immature Basic 1,2022-02-11,12:33:58,-7.587,74.607
GY02216,unknown,Immature Basic 1,2022-02-11,13:13:01,-7.6,74.631
GY02216,unknown,Immature Basic 1,2022-02-11,13:24:11,-7.638,74.659
GY02216,unknown,Immature Basic 1,2022-02-11,14:06:46,-7.653,74.63
GY02216,unknown,Immature Basic 1,2022-02-11,14:47:45,-7.676,74.631
GY02216,unknown,Immature Basic 1,2022-02-11,14:52:05,-7.677,74.638
GY02216,unknown,Immature Basic 1,2022-02-11,15:43:33,-7.688,74.619
GY02216,unknown,Immature Basic 1,2022-02-11,16:27:33,-7.682,74.62
GY02216,unknown,Immature Basic 1,2022-02-11,16:51:30,-7.685,74.62
GY02216,unknown,Immature Basic 1,2022-02-11,17:21:09,-7.687,74.624
GY02216,unknown,Immature Basic 1,2022-02-12,00:57:16,-7.633,74.615
GY02216,unknown,Immature Basic 1,2022-02-12,01:10:45,-7.648,74.547
GY02216,unknown,Immature Basic 1,2022-02-12,01:55:11,-7.641,74.593
GY02216,unknown,Immature Basic 1,2022-02-12,02:39:02,-7.429,74.68
GY02216,unknown,Immature Basic 1,2022-02-12,03:35:52,-7.315,74.664
GY02216,unknown,Immature Basic 1,2022-02-12,04:00:27,-7.286,74.62
GY02216,unknown,Immature Basic 1,2022-02-12,04:33:07,-7.251,74.428
GY02216,unknown,Immature Basic 1,2022-02-12,05:18:54,-7.267,74.599
GY02216,unknown,Immature Basic 1,2022-02-12,05:36:56,-7.245,74.57
