Species,Population,ID,TripID,Tripstart,Tripend,Completetrip,Trip_duration,Total_distance,Max_distance,Distal_lon,Distal_lat,CPLon,CPLat,Distal_bearing,Speed_mean,Speed_se,Straightness_outbound,Straightness_inbound
RFB,DG,GV37501,GV37501_1,2016-06-26T02:00:39Z,2016-06-26T12:18:23Z,Complete,617.733333333333,312727.74476185336,138133.678535766,73.040161,-6.162876,72.4347,-7.2386,29.372570065295392,8.614665539931497,0.20212046551617346,0.8390505803092522,0.93272552871792
RFB,DG,GV37501,GV37501_2,2016-06-28T02:03:17Z,2016-06-28T16:01:08Z,Complete,837.85,306668.1330156291,117395.245442176,72.798241,-6.255531,72.4347,-7.2386,20.294500592909387,6.195947677920739,0.1731811483521772,0.824202881115447,0.7148080509620669
RFB,DG,GV37503,GV37503_1,2016-06-26T12:20:37Z,2016-06-26T14:23:26Z,Complete,122.816666666667,21611.276141624676,7529.10455884324,72.466019,-7.179127,72.4347,-7.2386,27.77168167986219,2.832296453682232,0.32466974549371863,0.5607916196890708,0.9198183541026369
RFB,DG,GV37503,GV37503_2,2016-06-27T02:31:28Z,2016-06-27T14:58:51Z,Complete,747.383333333333,170095.75304495124,53282.236917561,72.635933,-6.807574,72.4347,-7.2386,25.026447600167113,4.4603682321099,0.18636544078177783,0.4743853840614307,0.9222003370628183
RFB,DG,GV37503,GV37503_3,2016-06-29T02:13:42Z,2016-06-29T07:15:04Z,Complete,301.366666666667,53046.11066211745,17084.7242541309,72.442909,-7.086541,72.4347,-7.2386,3.0901487137247763,3.1753837289407896,0.2658849611507445,0.9640124012093928,0.4836632268224107
RFB,DG,GV37503,GV37503_4,2016-06-30T02:12:33Z,2016-06-30T14:15:32Z,Complete,722.983333333333,114692.06087699553,21647.2446796398,72.279167,-7.122792,72.4347,-7.2386,306.6709260401591,2.9555920249174945,0.17947743712747416,0.2413445704601265,0.8659691235248481
RFB,NI,GV37734,GV37734_1,2018-07-08T07:29:50Z,2018-07-08T07:50:03Z,Complete,20.2166666666667,10436.63611329609,4399.20246368925,72.350143,-5.660568,72.3165,-5.6812,58.480759900823706,6.882037654521594,0.6594321957173919,0.7295990884065796,0.9982261310071897
RFB,NI,GV37734,GV37734_2,2018-07-08T12:01:52Z,2018-07-08T14:40:37Z,Complete,158.75,53002.83922949725,21267.8040515667,72.43335,-5.530771,72.3165,-5.6812,37.839289394253285,5.703047842067159,0.3820924498858437,0.7770414398613195,0.8297167510459048
RFB,NI,GV37734,GV37734_3,2018-07-09T02:42:04Z,2018-07-09T10:01:19Z,Complete,439.25,145530.68379484123,59108.1129064496,72.656639,-5.275335,72.3165,-5.6812,39.96500865504864,5.870906654830234,0.2301318852113216,0.878853100585322,0.7551366956731692
RFB,NI,GV37734,GV37734_4,2018-07-10T02:12:14Z,2018-07-10T08:11:14Z,Complete,359,139825.3994556572,52809.6000477609,72.786873,-5.74255,72.3165,-5.6812,97.4310486562501,6.4120043852391575,0.2515984162701156,0.6578054024705025,0.8869018428029224
