subsample,ID,Date,Time,Lat,Lon,DateTime,DeployID,CPLat,CPLon,Species,Population,Age,BreedingStage,Deploydatetime,Retrievedatetime,geometry_first,dist,difftime,netdisp,speed,turnangle
2019-03-16T14:00:00Z,17766,2019-03-16T00:00:00Z,14:07:15,52.377357,-6.378092,2019-03-16T14:07:15Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",73.388264565449,3603,137.914975206571,0.0203686551666525,278.8067926949523
2019-03-16T16:00:00Z,17766,2019-03-16T00:00:00Z,16:07:51,52.377743,-6.380215,2019-03-16T16:07:51Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",199.888542487484,3638,384.346410883681,0.05494462410321177,279.78462771240703
2019-03-16T18:00:00Z,17766,2019-03-16T00:00:00Z,18:07:14,52.377861,-6.379014,2019-03-16T18:07:14Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",78.0706365256229,3597,270.705716462434,0.02170437490286985,80.42775796584763
2019-03-16T20:00:00Z,17766,2019-03-16T00:00:00Z,20:07:10,52.334862,-6.369282,2019-03-16T20:07:10Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",22.4115289623303,3589,7745.08839643795,0.0062445051441433,91.99456930025929
2019-03-16T22:00:00Z,17766,2019-03-16T00:00:00Z,22:07:11,52.33469,-6.369524,2019-03-16T22:07:11Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",30.314060417283,3598,7773.33152449413,0.00842525303426432,238.4258092496305
2019-03-17T00:00:00Z,17766,2019-03-17T00:00:00Z,00:07:12,52.334812,-6.369505,2019-03-17T00:07:12Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",17.7656888416081,3589,7751.45660950729,0.00495003868531849,52.765166018373726
2019-03-17T02:00:00Z,17766,2019-03-17T00:00:00Z,02:07:25,52.334774,-6.369518,2019-03-17T02:07:25Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",4.51200837588932,3615,7758.18597758591,0.00124813509706481,306.158185442262
2019-03-17T04:00:00Z,17766,2019-03-17T00:00:00Z,04:07:15,52.337299,-6.365693,2019-03-17T04:07:15Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",64.4829980378609,3591,7361.21899170696,0.01795683598937925,122.61924307122172
2019-03-17T06:00:00Z,17766,2019-03-17T00:00:00Z,06:07:14,52.337898,-6.370907,2019-03-17T06:07:14Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",40.168090942659,3587,7176.43242820774,0.01119824113260635,272.3859440311473
2019-03-17T08:00:00Z,17766,2019-03-17T00:00:00Z,08:07:23,52.380127,-6.377185,2019-03-17T08:07:23Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",31.2886176038966,3613,553.106319536669,0.00866001040794258,36.869897645217705
2019-03-17T10:00:00Z,17766,2019-03-17T00:00:00Z,10:07:14,52.379726,-6.378662,2019-03-17T10:07:14Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",120.647136490728,3591,516.651338042155,0.03359708618510956,251.00245628262132
2019-03-17T12:00:00Z,17766,2019-03-17T00:00:00Z,12:07:10,52.379879,-6.378706,2019-03-17T12:07:10Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",36.1281252019259,3600,544.3942735437,0.01003559033386831,45.67403689762535
2019-03-17T14:00:00Z,17766,2019-03-17T00:00:00Z,14:07:20,52.376846,-6.378668,2019-03-17T14:07:20Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",504.85244196388,3597,199.072266475807,0.1403537508934889,186.40393464024248
2019-03-17T16:00:00Z,17766,2019-03-17T00:00:00Z,16:07:39,52.377167,-6.379347,2019-03-17T16:07:39Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",193.621784343548,3627,269.575647260769,0.05338345308617252,144.23990182089827
2019-03-17T18:00:00Z,17766,2019-03-17T00:00:00Z,18:07:40,52.376816,-6.380548,2019-03-17T18:07:40Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",43.8007679710943,3628,406.244343972105,0.01207297904385178,183.8140748343185
2019-03-17T20:00:00Z,17766,2019-03-17T00:00:00Z,20:07:11,52.334515,-6.369485,2019-03-17T20:07:11Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",6.87105131324838,3573,7805.49328011354,0.00192304822648989,326.6893691788337
2019-03-17T22:00:00Z,17766,2019-03-17T00:00:00Z,22:07:11,52.33445,-6.369508,2019-03-17T22:07:11Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",5.68317523297443,3597,7816.9970377275,0.00157997643396564,154.9831065233858
2019-03-18T00:00:00Z,17766,2019-03-18T00:00:00Z,00:07:16,52.336933,-6.370863,2019-03-18T00:07:16Z,1,NA,NA,GWFG,Wexf,Adult,NA,2019-03-16T12:00:00Z,2019-05-15T12:00:00Z,"c(-709876.377785368, 6868598.92376262)",472.352857374307,3605,7351.94309370602,0.1310271449027203,331.1238992058356
