BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:05:45,-7.225217,72.439705
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:10:54,-7.218514,72.442902
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:16:01,-7.204607,72.44722
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:21:09,-7.189216,72.450897
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:26:16,-7.157708,72.464279
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:31:22,-7.121319,72.472252
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:36:28,-7.087814,72.480927
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:41:34,-7.056214,72.489777
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:46:40,-7.022585,72.486481
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:51:46,-6.987408,72.487122
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,02:56:52,-6.951864,72.488449
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:02:01,-6.919162,72.497185
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:07:08,-6.886065,72.506325
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:12:15,-6.851497,72.511627
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:17:34,-6.81984,72.515656
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:22:53,-6.790468,72.532814
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:28:16,-6.755266,72.541763
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:33:34,-6.720212,72.552711
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:38:55,-6.688763,72.552475
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:44:18,-6.668548,72.538147
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:49:40,-6.631604,72.539192
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,03:55:25,-6.594563,72.545982
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:02:04,-6.548013,72.54715
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:09:38,-6.496477,72.552925
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:14:42,-6.4666689999999996,72.566177
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:19:46,-6.432115,72.571342
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:24:50,-6.396827,72.576126
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:29:54,-6.367933,72.588821
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:34:58,-6.349603,72.591354
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:40:01,-6.335021,72.610695
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:45:05,-6.320708,72.635818
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:50:09,-6.31725,72.663071
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,04:55:17,-6.306491,72.689629
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,05:01:25,-6.299355,72.723434
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,05:08:30,-6.274535,72.754356
GV37501,unknown,Adult,Chick rearing,GV37501_1,2016-06-26,05:17:08,-6.245465,72.794685
