ID,Date,Time,Lat,Lon,DateTime,DeployID,CPLat,CPLon,Species,Population,Deploydatetime,Retrievedatetime,geometry_first,dist,difftime,netdisp,speed,turnangle,CPdist,CPbearing
X102,2011-03-01T00:00:00Z,01:12:15,-20.25,57.44,2011-03-01T01:12:15Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",NA,NA,0,NA,NA,60568.9054288614,220.98041751216257
X102,2011-03-01T00:00:00Z,02:12:15,-20.47630134,56.01421857,2011-03-01T02:12:15Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",160975.845633329,3600,160975.845633329,44.71551267592477,260.98119391181314,210379.640398528,250.62699492134027
X102,2011-03-01T00:00:00Z,15:02:15,-21.300137200000002,55.19461941,2011-03-01T15:02:15Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",134014.60627325,46200,279482.424259224,2.90074905353356,224.85229443916995,335644.690897426,240.81717891044917
X102,2011-03-02T00:00:00Z,02:32:14,-21.79372901,54.25630405,2011-03-02T02:32:14Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",120000.974626838,41399,399374.689986582,2.898644281911099,242.2538156685847,455621.925057823,241.19548837049862
X102,2011-03-02T00:00:00Z,15:02:14,-22.49839095,53.25951152,2011-03-02T15:02:14Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",139589.674617864,45000,537421.459294628,3.1019927692858627,234.74238654371425,594440.958874504,239.695342963798
X102,2011-03-03T00:00:00Z,02:12:14,-23.2549384,52.50573244,2011-03-03T02:12:14Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",124082.964277471,40200,656854.934351303,3.086640902424643,224.89497917414263,714844.255603986,237.2051613567274
X102,2011-03-03T00:00:00Z,14:47:14,-25.45235378,51.31275674,2011-03-03T14:47:14Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",299574.744080953,45300,927657.086011231,6.613129008409554,208.49751284750778,987656.512076166,229.13650598546084
X102,2011-03-04T00:00:00Z,02:12:14,-27.50169186,50.14073413,2011-03-04T02:12:14Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",286334.904697337,41100,1200427.57845241,6.966786002368286,209.7653690199006,1260895.86522206,224.98341565358018
X102,2011-03-04T00:00:00Z,14:47:13,-27.69911967,50.92437039,2011-03-04T14:47:13Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",90690.6744316994,45299,1162460.49253313,2.002045838356243,104.14070720296021,1223026.13273791,221.1658569640242
X102,2011-03-05T00:00:00Z,02:12:13,-27.85506091,51.36810669,2011-03-05T02:12:13Z,5H41371,-19.854,57.784,Trindade_Petrel,Mauritius,2011-02-05T11:48:00Z,NA,"c(6394191.55116563, -2302670.4948368)",53150.4103442939,41100,1148098.42364924,1.2931973319779537,109.36288931773043,1208580.48547253,218.72543985197404
