Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/06/24, 05:56:30, -7.261868, 72.376137, 21.27,  252.00, 69, -2, 0.00, 1
2016/06/24, 06:01:32, -7.261717, 72.376114, 11.38,  0.00, 23, 0, 16.98, 1
2016/06/24, 06:06:33, -7.262004, 72.376060, 56.05,  0.00, 103, 0, 32.46, 1
2016/06/24, 06:11:40, -7.261866, 72.376060, 23.68,  144.00, 161, 0, 15.34, 1
2016/06/24, 06:16:49, -7.261446, 72.376213, -1.50,  0.00, 176, 0, 49.66, 1
2016/06/24, 06:21:59, -7.261866, 72.375938, 41.93,  0.00, 237, 0, 55.69, 1
2016/06/24, 06:27:14, -7.261913, 72.375931, 21.97,  2052.00, 195, 0, 5.28, 1
2016/06/24, 06:32:33, -7.262311, 72.375580, 18.11,  0.00, 332, 0, 58.80, 1
2016/06/24, 06:37:58, -7.262602, 72.375259, 13.18,  18144.00, 40, 0, 47.97, 1
2016/06/24, 06:43:17, -7.262067, 72.375557, -5.88,  0.00, 252, 0, 67.97, 1
2016/06/24, 06:49:00, -7.261642, 72.376076, -7.70,  828.00, 286, 0, 74.23, 1
2016/06/24, 06:55:12, -7.261257, 72.374962, -110.34,  0.00, 311, 0, 130.12, 1
2016/06/24, 07:00:43, -7.261623, 72.376106, -7.91,  324.00, 308, 0, 132.59, 1
2016/06/24, 07:06:57, -7.261667, 72.376465, 28.51,  5688.00, 86, 0, 39.90, 1
2016/06/24, 07:44:11, -7.261667, 72.376465, 28.51,  5688.00, 86, 0, 0.00, 1
2016/06/24, 08:00:01, -7.261683, 72.376259, -7.15,  180.00, 359, 0, 22.79, 1
2016/06/24, 08:16:44, -7.261663, 72.376373, -7.26,  5148.00, 289, 0, 12.77, 1
2016/06/24, 11:21:57, -7.261663, 72.376373, -7.26,  5148.00, 289, 0, 0.00, 1
2016/06/24, 11:27:37, -7.262729, 72.375626, 13.82,  0.00, 53, 0, 144.36, 1
2016/06/24, 11:32:50, -7.261947, 72.376366, 22.29,  10548.00, 138, -4, 119.26, 1
2016/06/25, 02:58:03, -7.261947, 72.376366, 22.29,  10548.00, 138, -2, 0.00, 1
2016/06/25, 03:06:35, -7.261768, 72.376099, -21.05,  252.00, 248, 0, 35.55, 1
2016/06/25, 03:17:43, -7.291089, 72.390366, -2.00,  108.00, 117, 0, 3620.25, 1
2016/06/25, 03:22:44, -7.291311, 72.390434, 31.01,  288.00, 268, 0, 25.80, 1
2016/06/25, 03:27:45, -7.291388, 72.390526, 69.57,  144.00, 275, 0, 13.28, 
2016/06/25, 03:33:07, -7.291327, 72.390488, 3.18,  252.00, 303, 0, 7.97, 
2016/06/25, 03:39:20, -7.291289, 72.390480, -25.18,  252.00, 253, 0, 4.32, 
2016/06/25, 03:44:18, -7.291278, 72.390373, 22.57,  0.00, 313, 0, 11.86, 
2016/06/25, 03:49:23, -7.291189, 72.390472, -27.21,  288.00, 214, 0, 14.74, 
2016/06/25, 03:54:24, -7.291358, 72.390724, -87.28,  252.00, 115, 0, 33.55, 
2016/06/25, 03:59:23, -7.291471, 72.390472, 5.90,  0.00, 18, 0, 30.50, 
2016/06/25, 04:04:26, -7.291416, 72.390518, 28.65,  1080.00, 263, 0, 7.95, 
2016/06/25, 04:09:28, -7.291527, 72.390404, 34.60,  324.00, 245, 0, 17.62, 
2016/06/25, 04:14:29, -7.291187, 72.390755, -33.23,  1800.00, 264, 0, 54.11, 
2016/06/25, 04:19:33, -7.291105, 72.390701, -43.59,  0.00, 217, 0, 10.89, 
2016/06/25, 04:24:35, -7.291114, 72.390739, -3.86,  0.00, 243, 0, 4.31, 
2016/06/25, 04:29:41, -7.291399, 72.390587, 59.63,  0.00, 331, 0, 35.85, 
2016/06/25, 04:34:40, -7.288462, 72.390533, -27.19,  10260.00, 22, 0, 326.63, 1
2016/06/25, 04:39:41, -7.280787, 72.395447, -27.58,  10728.00, 31, 0, 1010.99, 1
2016/06/25, 04:44:45, -7.274162, 72.399742, -19.80,  10080.00, 32, 0, 875.84, 1
2016/06/25, 04:49:47, -7.268279, 72.404205, -16.28,  8604.00, 32, 0, 818.69, 1
2016/06/25, 04:54:46, -7.263196, 72.408157, -20.28,  8748.00, 43, 0, 713.78, 1
2016/06/25, 05:00:06, -7.257994, 72.412468, 4.37,  8748.00, 37, 0, 748.80, 1
2016/06/25, 05:05:03, -7.253111, 72.416443, 1.88,  7920.00, 35, 0, 697.90, 1
2016/06/25, 05:10:03, -7.248330, 72.420540, -13.24,  8748.00, 42, 0, 697.75, 1
2016/06/25, 05:15:01, -7.244437, 72.424690, 5.34,  7524.00, 41, 0, 630.03, 1
2016/06/25, 05:19:58, -7.241262, 72.429359, 6.20,  7308.00, 56, 0, 624.41, 1
2016/06/25, 05:24:58, -7.239410, 72.434029, 2.57,  3816.00, 64, 0, 554.78, 1
2016/06/25, 05:29:57, -7.238110, 72.434586, 11.52,  684.00, 84, 0, 157.07, 1
2016/06/25, 05:34:57, -7.238052, 72.434669, 1.44,  0.00, 77, 0, 11.20, 
2016/06/25, 05:39:57, -7.238011, 72.434738, 12.28,  0.00, 192, 0, 8.87, 
2016/06/25, 05:44:56, -7.238017, 72.434692, 7.52,  252.00, 169, 0, 5.12, 
2016/06/25, 05:49:55, -7.238062, 72.434792, -17.29,  108.00, 205, 0, 12.11, 
2016/06/25, 05:54:54, -7.237593, 72.434067, 67.02,  5724.00, 47, 0, 95.48, 
2016/06/25, 05:59:54, -7.238070, 72.434341, -10.77,  9108.00, 292, 0, 61.05, 
2016/06/25, 06:04:56, -7.238540, 72.434685, 15.06,  324.00, 225, 0, 64.58, 
2016/06/25, 06:09:56, -7.238697, 72.434593, -7.30,  0.00, 52, 0, 20.19, 
2016/06/25, 06:14:55, -7.238937, 72.434891, -68.22,  576.00, 279, 0, 42.34, 
2016/06/25, 06:19:55, -7.238877, 72.435074, 109.30,  360.00, 194, 0, 21.26, 
2016/06/25, 06:24:56, -7.238963, 72.434776, 4.42,  0.00, 114, 0, 34.23, 
2016/06/25, 06:29:57, -7.238933, 72.434814, -1.83,  216.00, 198, 0, 5.36, 
2016/06/25, 06:35:02, -7.238822, 72.435028, 4.05,  0.00, 270, 0, 26.64, 
2016/06/25, 06:40:06, -7.238923, 72.435043, -18.83,  792.00, 164, 0, 11.35, 
2016/06/25, 06:45:12, -7.238817, 72.435112, 17.42,  0.00, 258, 0, 14.03, 
2016/06/25, 06:50:25, -7.238638, 72.434349, -20.86,  0.00, 278, 0, 86.49, 
2016/06/25, 06:55:59, -7.238850, 72.435143, 41.85,  0.00, 174, 0, 90.70, 
2016/06/25, 07:01:58, -7.239022, 72.435173, 3.76,  1584.00, 324, 0, 19.41, 
2016/06/25, 07:09:25, -7.238966, 72.435135, 3.51,  360.00, 165, 0, 7.51, 
2016/06/25, 07:17:11, -7.238886, 72.435066, 3.90,  72.00, 199, 0, 11.71, 
2016/06/25, 07:24:57, -7.238855, 72.435036, 4.15,  36.00, 270, 0, 4.78, 
2016/06/25, 07:33:18, -7.239110, 72.434921, 3.79,  108.00, 230, 0, 31.06, 
2016/06/25, 07:41:35, -7.238809, 72.434952, 7.09,  72.00, 238, 0, 33.64, 
2016/06/25, 07:49:33, -7.238912, 72.434929, 11.34,  0.00, 228, 0, 11.73, 
2016/06/25, 07:54:09, -7.238901, 72.434967, 7.96,  0.00, 263, 0, 4.37, 
2016/06/25, 07:58:44, -7.238650, 72.434990, 14.06,  2412.00, 180, 0, 28.03, 1
2016/06/25, 08:03:51, -7.238867, 72.435120, 57.03,  0.00, 103, 0, 28.07, 1
2016/06/25, 08:08:59, -7.238877, 72.435089, 32.13,  0.00, 168, 0, 3.60, 
2016/06/25, 08:14:11, -7.238895, 72.434898, -7.33,  0.00, 241, 0, 21.16, 
2016/06/25, 08:19:25, -7.238758, 72.435036, 7.18,  504.00, 304, 0, 21.54, 
2016/06/25, 08:24:37, -7.238836, 72.434769, -23.80,  0.00, 67, 0, 30.70, 
2016/06/25, 08:30:04, -7.238864, 72.434914, 12.74,  180.00, 264, 0, 16.29, 
2016/06/25, 08:35:09, -7.238845, 72.434929, -6.50,  108.00, 72, 0, 2.68, 
2016/06/25, 08:40:17, -7.238900, 72.435013, 21.00,  108.00, 288, 0, 11.10, 
2016/06/25, 08:45:22, -7.238882, 72.434982, -19.90,  0.00, 267, 0, 3.96, 
2016/06/25, 08:50:28, -7.238890, 72.435028, -37.31,  0.00, 279, 0, 5.15, 
2016/06/25, 08:55:34, -7.238894, 72.434944, 3.27,  0.00, 263, 0, 9.28, 
2016/06/25, 09:00:42, -7.238888, 72.434914, 15.06,  216.00, 335, 0, 3.38, 
2016/06/25, 09:05:47, -7.238876, 72.434807, 1.16,  0.00, 328, 0, 11.88, 
2016/06/25, 09:10:53, -7.238708, 72.434998, -38.67,  0.00, 42, 0, 28.16, 
2016/06/25, 09:16:03, -7.238809, 72.434952, -4.16,  1476.00, 202, 0, 12.32, 
2016/06/25, 09:21:08, -7.238891, 72.434906, -17.00,  468.00, 176, 0, 10.43, 
2016/06/25, 09:26:15, -7.238738, 72.434998, -13.30,  0.00, 18, 0, 19.81, 
2016/06/25, 09:31:21, -7.238775, 72.434959, -22.57,  0.00, 20, 0, 5.95, 
2016/06/25, 09:36:27, -7.238693, 72.434959, -28.05,  0.00, 17, 0, 9.12, 
2016/06/25, 09:41:33, -7.239008, 72.435356, -1.62,  0.00, 317, 0, 56.08, 
2016/06/25, 09:46:40, -7.238875, 72.434792, 3.68,  0.00, 281, 0, 63.95, 
2016/06/25, 09:51:51, -7.238759, 72.434807, -0.71,  1584.00, 121, 0, 13.00, 
2016/06/25, 09:56:59, -7.239044, 72.434868, 19.97,  0.00, 282, 0, 32.40, 
2016/06/25, 10:02:15, -7.238882, 72.434929, -6.44,  0.00, 271, 0, 19.23, 
2016/06/25, 10:07:29, -7.238797, 72.434860, -13.20,  0.00, 143, 0, 12.14, 
2016/06/25, 10:12:51, -7.238946, 72.434853, 6.70,  900.00, 356, 0, 16.59, 
2016/06/25, 10:18:33, -7.238971, 72.434952, -48.24,  828.00, 129, 0, 11.27, 
2016/06/25, 10:24:10, -7.238987, 72.435089, -16.52,  972.00, 224, 0, 15.22, 
2016/06/25, 10:31:03, -7.238973, 72.435081, 4.15,  0.00, 53, 0, 1.79, 
2016/06/25, 10:37:01, -7.238961, 72.434792, -1.20,  324.00, 1, 0, 31.91, 
2016/06/25, 10:45:28, -7.238903, 72.434990, -24.72,  0.00, 308, 0, 22.77, 
2016/06/25, 10:51:23, -7.238819, 72.434837, -2.84,  3708.00, 354, 0, 19.29, 
2016/06/25, 11:32:47, -7.238819, 72.434837, -2.84,  3708.00, 354, 0, 0.00, 
2016/06/25, 11:45:25, -7.238738, 72.434700, 7.86,  1728.00, 235, 0, 17.59, 
2016/06/25, 11:50:10, -7.238865, 72.435303, -24.40,  0.00, 305, 0, 68.00, 
2016/06/25, 11:55:00, -7.238991, 72.434822, 0.72,  0.00, 323, 0, 54.88, 
2016/06/25, 11:59:49, -7.238956, 72.434753, 10.69,  0.00, 261, 0, 8.55, 
2016/06/25, 12:04:38, -7.238852, 72.435081, -12.28,  0.00, 275, 0, 37.98, 
2016/06/25, 12:09:28, -7.238878, 72.435150, -5.66,  0.00, 275, 0, 8.14, 
2016/06/25, 12:14:13, -7.238864, 72.435074, 17.41,  0.00, 276, 0, 8.53, 
2016/06/25, 12:18:59, -7.238731, 72.434433, 54.28,  576.00, 82, 0, 72.24, 
2016/06/25, 12:23:49, -7.238814, 72.434647, 36.98,  0.00, 273, 0, 25.35, 
2016/06/25, 12:28:40, -7.238841, 72.434998, 4.82,  0.00, 97, 0, 38.83, 
2016/06/25, 12:33:26, -7.238771, 72.434738, 20.78,  0.00, 96, 0, 29.72, 
2016/06/25, 12:38:14, -7.238895, 72.435120, -18.79,  0.00, 270, 0, 44.34, 
2016/06/25, 12:43:04, -7.238856, 72.434990, -15.58,  0.00, 29, 0, 14.98, 
2016/06/25, 12:47:55, -7.238840, 72.434837, 0.25,  0.00, 333, 0, 16.97, 
