BirdID,Sex,Age,BreedStage,TrackID,DateGMT,TimeGMT,Latitude,Longitude
GV37734,unknown,Adult,Chick rearing,GV37734_1,2018-07-08,07:34:52,-5.676595,72.3283
GV37734,unknown,Adult,Chick rearing,GV37734_1,2018-07-08,07:39:55,-5.660568,72.350143
GV37734,unknown,Adult,Chick rearing,GV37734_1,2018-07-08,07:44:58,-5.668714,72.334396
GV37734,unknown,Adult,Chick rearing,GV37734_1,2018-07-08,07:50:03,-5.681236,72.316544
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:01:52,-5.680946,72.316544
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:06:56,-5.6672,72.325676
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:11:59,-5.642806,72.342384
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:17:02,-5.621817,72.355011
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:22:05,-5.602008,72.366425
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:27:08,-5.609278,72.382523
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:32:30,-5.602093,72.388321
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:37:34,-5.604495,72.390907
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:42:37,-5.607111,72.407608
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:47:40,-5.583939,72.426353
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:52:43,-5.543057,72.430862
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,12:57:47,-5.532249,72.420601
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:04:15,-5.534353,72.420151
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:12:21,-5.534705,72.423653
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:21:33,-5.536713,72.425552
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:26:45,-5.530771,72.43335
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:33:24,-5.53665,72.426643
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:38:31,-5.540136,72.401558
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:43:42,-5.544823,72.402939
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:48:52,-5.543712,72.416397
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:54:00,-5.547422,72.41301
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,13:59:12,-5.547915,72.409454
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,14:04:28,-5.550948,72.412247
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,14:09:37,-5.558776,72.4049
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,14:14:51,-5.559606,72.39904
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,14:20:00,-5.586406,72.378006
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,14:25:07,-5.611205,72.359138
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,14:30:15,-5.636379,72.33989
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,14:35:23,-5.664131,72.323082
GV37734,unknown,Adult,Chick rearing,GV37734_2,2018-07-08,14:40:37,-5.681221,72.316559
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,02:42:04,-5.67643,72.316971
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,02:47:14,-5.662914,72.326202
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,02:52:23,-5.641651,72.343719
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,02:57:32,-5.618071,72.362915
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:02:41,-5.607455,72.381195
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:07:43,-5.587502,72.402596
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:12:46,-5.569448,72.425941
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:17:49,-5.554605,72.45327
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:22:53,-5.54239,72.479797
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:27:57,-5.525461,72.502678
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:33:01,-5.498044,72.512192
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:38:02,-5.486675,72.530777
GV37734,unknown,Adult,Chick rearing,GV37734_3,2018-07-09,03:43:05,-5.482868,72.555504
